test_ID,Dataset,Adjacencia,k,Ponderacao,Simetrica,Conectado,Propagacao,PorcRot,NumExp,SeedExp,TempExp,NumNRot,Acuracia,F_measure
0,ace_ECFP_4.data,mutKNN,2,RBF,True,True,LapRLS,0.02,0,190,0.0299759904543558,0,0.5,0.3184275184275184
1,ace_ECFP_4.data,mutKNN,2,RBF,True,True,LapRLS,0.05,0,155,0.0548196713129679,0,0.5,0.312962962962963
2,ace_ECFP_4.data,mutKNN,2,RBF,True,True,LapRLS,0.08,0,117,0.0777067184448242,0,0.5,0.3017848164906988
3,ace_ECFP_4.data,mutKNN,2,RBF,True,True,LapRLS,0.1,0,95,0.0998376210530598,0,0.5,0.3442831678125795
4,ace_ECFP_4.data,mutKNN,2,HM,True,True,LapRLS,0.02,0,96,0.1159978787104288,0,0.5,0.3086134915403208
5,ace_ECFP_4.data,mutKNN,2,HM,True,True,LapRLS,0.05,0,59,0.1264468948046366,0,0.5,0.312962962962963
6,ace_ECFP_4.data,mutKNN,2,HM,True,True,LapRLS,0.08,0,40,0.1369072238604227,0,0.5,0.2813295975547631
7,ace_ECFP_4.data,mutKNN,2,HM,True,True,LapRLS,0.1,0,65,0.1472373723983764,0,0.5,0.2803391626921038
8,ace_ECFP_4.data,mutKNN,2,LLE,True,True,LapRLS,0.02,0,76,0.1619433919588724,0,0.5,0.3184275184275184
9,ace_ECFP_4.data,mutKNN,2,LLE,True,True,LapRLS,0.05,0,127,0.1724089781443278,0,0.5,0.3230963883137796
10,ace_ECFP_4.data,mutKNN,2,LLE,True,True,LapRLS,0.08,0,40,0.1832740068435669,0,0.5,0.2813295975547631
11,ace_ECFP_4.data,mutKNN,2,LLE,True,True,LapRLS,0.1,0,65,0.1940538962682088,0,0.5,0.2803391626921038
12,ace_ECFP_4.data,symKNN,2,RBF,True,True,LapRLS,0.02,0,76,0.2089288314183553,0,0.5,0.3184275184275184
13,ace_ECFP_4.data,symKNN,2,RBF,True,True,LapRLS,0.05,0,127,0.2214956800142924,0,0.5,0.3230963883137796
14,ace_ECFP_4.data,symKNN,2,RBF,True,True,LapRLS,0.08,0,40,0.2329383969306945,0,0.5,0.2813295975547631
15,ace_ECFP_4.data,symKNN,2,RBF,True,True,LapRLS,0.1,0,65,0.2433664719263712,0,0.5,0.2803391626921038
16,ace_ECFP_4.data,symKNN,2,HM,True,True,LapRLS,0.02,0,76,0.2582724531491597,0,0.5,0.3184275184275184
17,ace_ECFP_4.data,symKNN,2,HM,True,True,LapRLS,0.05,0,127,0.2691244125366211,0,0.5,0.3230963883137796
18,ace_ECFP_4.data,symKNN,2,HM,True,True,LapRLS,0.08,0,40,0.2799224495887756,0,0.5,0.2813295975547631
19,ace_ECFP_4.data,symKNN,2,HM,True,True,LapRLS,0.1,0,65,0.2912903626759847,0,0.5,0.2803391626921038
20,ace_ECFP_4.data,symKNN,2,LLE,True,True,LapRLS,0.02,0,76,0.303445831934611,0,0.5,0.3184275184275184
21,ace_ECFP_4.data,symKNN,2,LLE,True,True,LapRLS,0.05,0,127,0.3146363019943237,0,0.5,0.3230963883137796
22,ace_ECFP_4.data,symKNN,2,LLE,True,True,LapRLS,0.08,0,40,0.3249522805213928,0,0.5,0.2813295975547631
23,ace_ECFP_4.data,symKNN,2,LLE,True,True,LapRLS,0.1,0,65,0.3355016152064005,0,0.5,0.2803391626921038
24,ace_ECFP_4.data,symFKNN,2,RBF,True,True,LapRLS,0.02,0,76,0.3491051157315572,0,0.5,0.3184275184275184
25,ace_ECFP_4.data,symFKNN,2,RBF,True,True,LapRLS,0.05,0,127,0.3601817051569621,0,0.5,0.3230963883137796
26,ace_ECFP_4.data,symFKNN,2,RBF,True,True,LapRLS,0.08,0,40,0.3720707376797994,0,0.5,0.2813295975547631
27,ace_ECFP_4.data,symFKNN,2,RBF,True,True,LapRLS,0.1,0,65,0.3830263574918111,0,0.5,0.2803391626921038
28,ace_ECFP_4.data,symFKNN,2,HM,True,True,LapRLS,0.02,0,76,0.3989253004391988,0,0.5,0.3184275184275184
29,ace_ECFP_4.data,symFKNN,2,HM,True,True,LapRLS,0.05,0,127,0.4098961989084879,0,0.5,0.3230963883137796
30,ace_ECFP_4.data,symFKNN,2,HM,True,True,LapRLS,0.08,0,40,0.420204750696818,0,0.5,0.2813295975547631
31,ace_ECFP_4.data,symFKNN,2,HM,True,True,LapRLS,0.1,0,65,0.4312797705332438,0,0.5,0.2803391626921038
32,ace_ECFP_4.data,symFKNN,2,LLE,True,True,LapRLS,0.02,0,76,0.4436583081881205,0,0.5,0.3184275184275184
33,ace_ECFP_4.data,symFKNN,2,LLE,True,True,LapRLS,0.05,0,127,0.4544883370399475,0,0.5,0.3230963883137796
34,ace_ECFP_4.data,symFKNN,2,LLE,True,True,LapRLS,0.08,0,40,0.4659767190615336,0,0.5,0.2813295975547631
35,ace_ECFP_4.data,symFKNN,2,LLE,True,True,LapRLS,0.1,0,65,0.4765816450119018,0,0.5,0.2803391626921038
36,ace_ECFP_4.data,MST,2,RBF,True,True,LapRLS,0.02,0,76,0.492341136932373,0,0.5,0.3184275184275184
37,ace_ECFP_4.data,MST,2,RBF,True,True,LapRLS,0.05,0,127,0.5030362168947856,0,0.5,0.3230963883137796
38,ace_ECFP_4.data,MST,2,RBF,True,True,LapRLS,0.08,0,40,0.5137631853421529,0,0.5,0.2813295975547631
39,ace_ECFP_4.data,MST,2,RBF,True,True,LapRLS,0.1,0,65,0.5246822913487752,0,0.5,0.2803391626921038
40,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.02,0,76,0.5401016751925151,0,0.5,0.3184275184275184
41,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.05,0,127,0.5504462957382202,0,0.5,0.3230963883137796
42,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.08,0,40,0.5609781901041667,0,0.5,0.2813295975547631
43,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.1,0,65,0.5719420433044433,0,0.5,0.2803391626921038
44,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.02,0,76,0.5837125619252522,0,0.5,0.3184275184275184
45,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.05,0,127,0.5943723479906718,0,0.5,0.3230963883137796
46,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.08,0,40,0.6053552627563477,0,0.5,0.2813295975547631
47,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.1,0,65,0.6157374064127604,0,0.5,0.2803391626921038
48,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.02,0,76,0.6298692941665649,0,0.5,0.3184275184275184
49,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.05,0,127,0.640838102499644,0,0.5,0.3230963883137796
50,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.08,0,40,0.6512694954872131,0,0.5,0.2813295975547631
51,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.1,0,65,0.6614553610483805,0,0.5,0.2803391626921038
52,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.02,0,76,0.6765773177146912,0,0.5,0.3184275184275184
53,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.05,0,127,0.6875998934110006,0,0.5,0.3230963883137796
54,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.08,0,40,0.6979639212290446,0,0.5,0.2813295975547631
55,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.1,0,65,0.7094545841217041,0,0.5,0.2803391626921038
56,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.02,0,76,0.7217069427172343,0,0.5,0.3184275184275184
57,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.05,0,127,0.7329212705294291,0,0.5,0.3230963883137796
58,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.08,0,40,0.7441512862841289,0,0.5,0.2813295975547631
59,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.1,0,65,0.7558850844701132,0,0.5,0.2803391626921038
